"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","585.51","577.50","638.40","575.57","6.02M","1.95%"
"11/01/2024","574.32","567.60","599.66","549.05","237.81M","1.19%"
"10/01/2024","567.58","577.98","602.95","561.52","265.91M","-0.85%"
"09/01/2024","572.44","519.64","577.40","495.60","246.45M","9.81%"
"08/01/2024","521.31","521.00","544.23","450.80","323.38M","9.79%"
"07/01/2024","474.83","504.95","542.81","442.65","324.02M","-5.83%"
"06/01/2024","504.22","470.86","522.88","468.24","226.95M","8.01%"
"05/01/2024","466.83","428.60","482.50","427.11","282.49M","8.52%"
"04/01/2024","430.17","487.20","531.49","414.50","437.30M","-11.41%"
"03/01/2024","485.58","492.11","523.57","476.00","279.21M","-0.93%"
"02/01/2024","490.13","393.94","494.36","393.05","466.26M","25.63%"
"01/01/2024","390.14","351.32","406.36","340.01","346.97M","10.22%"
"12/01/2023","353.96","325.48","361.90","313.66","334.63M","8.20%"
"11/01/2023","327.15","301.85","342.92","301.85","329.35M","8.59%"
"10/01/2023","301.27","302.74","330.54","279.40","511.37M","0.35%"
"09/01/2023","300.21","299.37","312.87","286.79","406.80M","1.46%"
"08/01/2023","295.89","317.54","324.14","274.38","424.63M","-7.13%"
"07/01/2023","318.60","286.70","326.20","284.85","625.34M","11.02%"
"06/01/2023","286.98","265.90","289.79","258.88","481.18M","8.41%"
"05/01/2023","264.72","238.62","268.65","229.85","487.17M","10.15%"
"04/01/2023","240.32","208.84","241.68","207.13","446.69M","13.39%"
"03/01/2023","211.94","174.59","212.17","171.43","690.45M","21.15%"
"02/01/2023","174.94","148.03","197.16","147.06","772.20M","17.43%"
"01/01/2023","148.97","122.82","153.19","122.28","548.77M","23.79%"
"12/01/2022","120.34","119.20","124.67","112.46","653.02M","1.90%"
"11/01/2022","118.10","94.33","118.74","88.09","1.06B","26.77%"
"10/01/2022","93.16","137.14","142.39","92.60","1.11B","-31.34%"
"09/01/2022","135.68","163.58","171.39","134.12","635.06M","-16.72%"
"08/01/2022","162.93","157.25","183.10","155.23","551.92M","2.41%"
