ticker,date,open,high,low,close,volume,change_percent
GOOG,2024-12-01,168.76,201.42,168.57,189.3,645620000,12.04
GOOG,2024-11-01,170.07,182.49,163.7,168.95,529990000,-1.26
GOOG,2024-10-01,167.68,182.02,159.74,171.11,569360000,3.17
GOOG,2024-09-01,161.72,166.15,147.21,165.85,532679999,1.51
GOOG,2024-08-01,170.25,174.05,154.93,163.38,550740000,-4.76
GOOG,2024-07-01,183.03,191.75,164.06,171.54,526150000,-5.82
GOOG,2024-06-01,172.54,186.05,171.16,182.15,461090000,5.59
GOOG,2024-05-01,164.3,178.77,163.05,172.5,542410000,5.97
GOOG,2024-04-01,150.69,174.71,149.6,162.78,659880000,7.85
GOOG,2024-03-01,138.43,152.26,130.66,150.93,672720000,9.01
GOOG,2024-02-01,142.12,149.44,135.41,138.46,647510000,-1.17
GOOG,2024-01-01,138.55,153.78,135.15,140.1,581870000,0.29
GOOG,2023-12-01,131.86,142.68,127.9,139.69,620000000,5.4
GOOG,2023-11-01,124.07,139.42,123.71,132.53,535340000,6.81
GOOG,2023-10-01,131.21,141.22,120.21,124.08,680760000,-5.18
GOOG,2023-09-01,137.46,139.16,127.22,130.86,477630000,-3.9
GOOG,2023-08-01,130.77,138.0,126.38,136.17,593520000,2.6
GOOG,2023-07-01,119.24,133.74,115.35,132.72,707110000,10.88
GOOG,2023-06-01,122.82,129.04,116.1,119.7,656880000,-2.58
GOOG,2023-05-01,106.84,126.43,103.71,122.87,820610000,14.47
GOOG,2023-04-01,102.39,109.17,101.93,107.34,604110000,3.48
GOOG,2023-03-01,89.98,106.59,89.42,103.73,860050000,15.18
GOOG,2023-02-01,98.71,108.18,88.57,90.06,952710000,-8.88
GOOG,2023-01-01,89.58,100.32,84.86,98.84,672900000,12.03
GOOG,2022-12-01,101.02,102.25,85.94,88.23,602720000,-12.63
GOOG,2022-11-01,95.45,101.04,83.34,100.99,716540000,6.86
GOOG,2022-10-01,96.76,104.82,91.8,94.51,681650000,-1.19
GOOG,2022-09-01,108.28,111.62,95.56,95.65,613290000,-11.62
GOOG,2022-08-01,115.3,122.43,107.8,108.22,515880000,-6.96
GOOG,2022-07-01,107.93,119.68,104.07,116.32,789630000,6.75
GOOG,2022-06-01,114.86,119.35,105.05,108.96,770870000,-4.22
GOOG,2022-05-01,113.4,122.85,101.88,113.76,850450000,-0.3
GOOG,2022-04-01,139.5,143.71,112.74,114.11,761180000,-17.95
GOOG,2022-03-01,134.88,143.79,125.28,139.07,729200000,2.97
GOOG,2022-02-01,137.59,151.55,124.95,135.06,928150000,-0.18
GOOG,2022-01-01,145.05,146.48,124.5,135.3,767400000,-6.59
GOOG,2021-12-01,144.0,149.1,139.32,144.85,620400000,2.08
GOOG,2021-11-01,148.05,150.97,141.6,141.9,608460000,-4.15
